,source_idx,source_name,issn,era_journal_name,era_for_codes,harzing_journal_name,harzing_field,works_count,cited_by_count,wos_journal_name,wos_categories,topic_count,subfield_name,field_name,econ_bus_density,econ_score,bus_score,field_eb
296,107033909,Journal of Economics,0931-8658,Journal of Economics,['3801' '3802' '3803'],Journal of Economics/ Zeitschrift fur Nationalokonomie,Economics,1985,20397,Journal of Economics,['ECONOMICS'],443,Economics and Econometrics,"Economics, Econometrics and Finance",1.0,6,0,E
297,956737788,BuR - Business Research,1866-8658,BuR: Business Research,['3502'],,,1961,8248,,,30,Accounting,"Business, Management and Accounting",1.0,0,2,B
298,197145128,Journal of Organizational Change Management,0953-4814,Journal of Organizational Change Management,['3505' '3507'],Journal of Organizational Change Management,Gen & Strat,1960,71793,JOURNAL OF ORGANIZATIONAL CHANGE MANAGEMENT,['MANAGEMENT'],606,Organizational Behavior and Human Resource Management,"Business, Management and Accounting",0.9085985104942451,0,5,B
299,4210177023,Brazilian Journal of Political Economy,0101-3157,Revista de Economia Politica,['3801'],,,1957,12954,,,1138,"General Economics, Econometrics and Finance","Economics, Econometrics and Finance",0.9031610637230306,2,0,E
300,173789977,Corporate Governance,1472-0701,Corporate Governance,['3507'],Corporate Governance: The International Journal of Busin,Gen & Strat,1952,65158,Corporate Governance-The International Journal of Business in Society,['BUSINESS'],893,Accounting,"Business, Management and Accounting",1.0,0,4,B
301,8124760,Journal of Management & Organization,1833-3672,Journal of Management and Organization,['3505' '3507'],Journal of Management and Organization,Gen & Strat,1949,33899,Journal of Management & Organization,['MANAGEMENT'],490,Organizational Behavior and Human Resource Management,"Business, Management and Accounting",1.0,0,5,B
302,4394735563,Journal of applied corporate finance,1745-6622,Journal of Applied Corporate Finance,['3501' '3502'],Journal of Applied Corporate Finance,F&A,1938,51216,Journal of Applied Corporate Finance,"['BUSINESS, FINANCE']",581,Accounting,"Business, Management and Accounting",1.0,2,4,A
303,195297104,Organizational Dynamics,0090-2616,,,Organizational Dynamics,"OS/OB,HRM/IR",1936,119025,ORGANIZATIONAL DYNAMICS,['BUSINESS' 'MANAGEMENT'],129,Organizational Behavior and Human Resource Management,"Business, Management and Accounting",0.8072805139186295,0,3,B
304,8557221,Journal of Labor Economics,0734-306X,Journal of Labor Economics,['3801'],Journal of Labor Economics,Economics,1934,170420,JOURNAL OF LABOR ECONOMICS,['ECONOMICS'],724,Economics and Econometrics,"Economics, Econometrics and Finance",0.5445246690734056,4,0,E
305,50758683,Revista de Historia Económica / Journal of Iberian and Latin American Economic History,0212-6109,,,,,1933,8471,Revista de Historia Economica-Journal of Iberian and Latin American Economic History,['ECONOMICS'],601,Economics and Econometrics,"Economics, Econometrics and Finance",0.7370786516853932,2,0,E
306,78792899,Journal of Small Business Management,0047-2778,Journal of Small Business Management,['35'],Journal of Small Business Management,Entrep,1933,144130,JOURNAL OF SMALL BUSINESS MANAGEMENT,['MANAGEMENT'],843,Management of Technology and Innovation,"Business, Management and Accounting",1.0,0,4,B
