unique_issn_list,era_journal_name,era_for_codes,harzing_journal_name,harzing_field,wos_journal_name,wos_abbreviation,wos_categories,scopus_journal_name,scopus_asjc
"[1842-4120, 2344-5416]",,,,,Studies in Business and Economics,STUD BUS ECON-ROM,[ECONOMICS],Studies in Business and Economics,"[2000, 1400]"
"[1086-7376, 1755-6791]",Studies in Economics and Finance,"[3501, 3502, 3801]",,,Studies in Economics and Finance,STUD ECON FINANC,"['BUSINESS, FINANCE']",Studies in Economics and Finance,[2000]
"[0040-747X, 1467-9663]",,,,,TIJDSCHRIFT VOOR ECONOMISCHE EN SOCIALE GEOGRAFIE,TIJDSCHR ECON SOC GE,[ECONOMICS],Tijdschrift Voor Economische en Sociale Geografie,[2000]
"[1226-1165, 2041-6156, 2041-9945]",Asia-Pacific Journal of Financial Studies,"[3501, 3502]",,,Asia-Pacific Journal of Financial Studies,ASIA-PAC J FINANC ST,"['BUSINESS, FINANCE']",Asia-Pacific Journal of Financial Studies,[2000]
[0167-9236],,,Decision Support Systems,"MIS,KM",,,,Decision Support Systems,[1400]
"[1094-608X, 1547-0148, 1547-0156]",Journal of Convention and Event Tourism,[3508],,,,,,Journal of Convention and Event Tourism,[1400]
[1545-2921],Economics Bulletin,"[3801, 3802, 3803]",,,Economics Bulletin,ECON BULL,[ECONOMICS],Economics Bulletin,[2000]
"[0968-6673, 1468-0432]",,,"Gender, Work and Organization","OS/OB,HRM/IR",GENDER WORK AND ORGANIZATION,GENDER WORK ORGAN,[MANAGEMENT],"Gender, Work and Organization",[1400]
"[2213-297X, 2213-2988]",Journal of Co-operative Organization and Management,[3507],,,Journal of Co-operative Organization and Management,J CO-OP ORGAN MANAG,[MANAGEMENT],Journal of Co-operative Organization and Management,[1400]
"[1463-001X, 1479-1048]",Journal of Corporate Real Estate,[3507],,,Journal of Corporate Real Estate,J CORP REAL ESTATE,[MANAGEMENT],Journal of Corporate Real Estate,"[2000, 1400]"
"[0012-1533, 1746-1049]",,,,,DEVELOPING ECONOMIES,DEV ECON,[ECONOMICS],Developing Economies,[2000]
"[2071-789X, 2306-3459]",,,,,Economics & Sociology,ECON SOCIOL,"[ECONOMICS, BUSINESS]",Economics and Sociology,"[2000, 1400]"
"[0899-7764, 1532-7736]",,,,,JOURNAL OF MEDIA ECONOMICS,J MEDIA ECON,[ECONOMICS],Journal of Media Economics,[2000]
[1558-9080],,,Academy of Management Perspectives,Gen & Strat,Academy of Management Perspectives,ACAD MANAGE PERSPECT,"[MANAGEMENT, BUSINESS]",Academy of Management Perspectives,[1400]
"[0020-6598, 1468-2354]",International Economic Review,"[3801, 3802, 3803]",International Economic Review,Economics,INTERNATIONAL ECONOMIC REVIEW,INT ECON REV,[ECONOMICS],International Economic Review,[2000]
"[0043-8022, 1741-0401, 1758-6658]",International Journal of Productivity and Performance Management,"[3505, 3507]",,,International Journal of Productivity and Performance Management,INT J PRODUCT PERFOR,[MANAGEMENT],International Journal of Productivity and Performance Management,[1400]
"[2080-7279, 2300-5661]",,,,,Foundations of Management,FOUND MANAGE,[MANAGEMENT],Foundations of Management,[1400]
"[0030-7653, 1464-3812]",Oxford Economic Papers,"[3801, 3802, 3803]",Oxford Economic Papers,Economics,OXFORD ECONOMIC PAPERS-NEW SERIES,OXFORD ECON PAP,[ECONOMICS],Oxford Economic Papers,[2000]
"[1380-6653, 1573-7136]",Review of Accounting Studies,[3501],Review of Accounting Studies,F&A,REVIEW OF ACCOUNTING STUDIES,REV ACCOUNT STUD,"['BUSINESS, FINANCE']",Review of Accounting Studies,[1400]
"[1081-1826, 1558-3708]",Studies in Nonlinear Dynamics and Econometrics,"[3801, 3802]",,,STUDIES IN NONLINEAR DYNAMICS AND ECONOMETRICS,STUD NONLINEAR DYN E,[ECONOMICS],Studies in Nonlinear Dynamics and Econometrics,[2000]
"[0034-379X, 1703-8138]",Industrial Relations,[3505],,,,,,Relations Industrielles,[1400]
"[1863-6683, 1863-6691]",Review of Managerial Science,[35],Review of Managerial Science,Gen & Strat,Review of Managerial Science,REV MANAG SCI,[MANAGEMENT],Review of Managerial Science,[1400]
"[2217-7159, 1452-4864]",,,,,Serbian Journal of Management,SERB J MANAG,[MANAGEMENT],Serbian Journal of Management,[1400]
"[2281-3993, 2281-4612]",,,,,,,,Academic Journal of Interdisciplinary Studies,"[2000, 1400]"
"[1855-3303, 2335-4194]",,,,,,,,Academica Turistica,[1400]
[2473-3458],,,,,,,,AIS Transactions on Replication Research,[1400]
[2689-8810],,,,,,,,American Business Review,[1400]
[8755-0024],,,,,,,,Applied Stochastic Models and Data Analysis,[1400]
[2054-2232],,,,,,,,Australasian Journal of Organisational Psychology,[1400]
