unique_issn_list,era_journal_name,era_for_codes,harzing_journal_name,harzing_field,wos_journal_name,wos_abbreviation,wos_categories,scopus_journal_name,scopus_asjc
"[2689-4815, 2689-4823]",,,,,,,,Journal of Political Institutions and Political Economy,[2000]
"[1479-1110, 1750-2098]",,,,,,,,Journal of Retail and Leisure Property,"[2000, 1400]"
[2950-3701],,,,,,,,Journal of Sustainable Finance and Accounting,"[2000, 1400]"
"[1738-6225, 2288-2235]",,,,,,,,Journal of the Korean Society for Railway,[1400]
"[1885-2564, 2254-0644]",,,,,,,,Journal of Tourism Analysis,[1400]
"[0193-7197, 1548-0577]",,,,,,,,Journal of Vinyl Technology,[1400]
"[2580-2240, 2580-2259]",,,,,,,,Jurnal Ilmiah Ilmu Terapan Universitas Jambi,[2000]
"[0700-3862, 1911-4842]",,,,,,,,Labour/Le Travail,[1400]
"[1864-4031, 1864-404X]",,,,,,,,Letters in Spatial and Resource Sciences,[2000]
"[0882-3391, 2374-782X]",,,,,,,,Lifestyles,[2000]
"[2265-3937, 2983-8304]",,,,,,,,Management and Prospective,[1400]
[1779-3572],,,,,,,,Market Management: Marketing and Communication.,[1400]
"[1095-7960, 1557-2978]",,,,,,,,New Labor Forum,"[2000, 1400]"
"[2627-4957, 2628-166X]",,,,,,,,NIM Marketing Intelligence Review,[1400]
"[1870-3550, 2448-7228]",,,,,,,,Norteamerica,[2000]
[2752-5074],,,,,,,,Oxford Open Economics,[2000]
"[1997-8553, 2309-8619]",,,,,,,,Pakistan Journal of Commerce and Social Sciences,"[2000, 1400]"
"[1751-8040, 1751-8059]",,,,,,,,Place Branding and Public Diplomacy,[1400]
[1558-9641],,,,,,,,Publishing Executive,[1400]
"[1923-3981, 1923-399X]",,,,,,,,Research in World Economy,"[2000, 1400]"
[0097-8043],,,,,,,,Restaurant Business,[1400]
[1982-6125],,,,,,,,Revista Brasileira de Pesquisa em Turismo,[1400]
"[1163-913X, 2271-2186]",,,,,,,,Revue de Gestion des Ressources Humaines,[1400]
[1037-1656],,,,,,,,Rural Society,[1400]
"[0341-2687, 2366-6153]",,,,,,,,Schmalenbach Journal of Business Research,"[2000, 1400]"
[0262-8546],,,,,,,,Service Industries Review,[1400]
[1874-7655],,,,,,,,Statistical Journal of the IAOS,"[2000, 1400]"
[0195-0118],,,,,,,,Textile Rental,[1400]
[1561-4980],,,,,,,,Ukrainian Geographical Journal,[1400]
"[2568-020X, 2567-8833]",,,,,,,,Zeitschrift fur Technikfolgenabschatzung in Theorie und Praxis / Journal for Technology Assessment in Theory and Practice,[1400]
[0044-3751],,,,,,,,Zeitschrift fur Wirtschaftsgeographie,[2000]
[1534-8784],Housing Finance International,[3502],,,,,,,
"[2205-6688, 2205-6742]",Australian Academy of Accounting and Finance Review,[3502],,,,,,,
[2236-0972],,,,,Revista de Gestao e Projetos,REV GES PROJ,[BUSINESS],,
"[1226-2153, 1226-4261]",Journal of Economic Research,"[3801, 3802, 3803]",,,,,,,
[0003-6870],,,Applied Ergonomics,"OS/OB,HRM/IR",,,,,
[1856-6189],,,,,Revista CICAG,REV CICAG,[MANAGEMENT],,
[0003-066X],,,American Psychologist,Psychology,,,,,
"[2185-4785, 2185-4793]",,,,,Japanese Accounting Review,JPN ACCOUNT REV,"['BUSINESS, FINANCE']",,
[1984-3372],,,,,Revista Eletronica de Estrategia e Negocios-REEN,REV ELETRONICA ESTRA,[MANAGEMENT],,
"[0265-0665, 1468-0270]",Economic Affairs: the journal of the IEA,"[3801, 3802, 3803]",,,ECONOMIC AFFAIRS,ECON AFFA,[ECONOMICS],,
"[1414-0896, 2318-0722]",,,,,Revista Ciencias Administrativas,REV CIENC ADM,[MANAGEMENT],,
[1528-5014],Journal of Business and Economic Perspectives,"[35, 38]",,,,,,,
[0305-0548],,,Computers and Operations Research,"OR,MS,POM",,,,,
"[1170-7690, 1179-2027]",,,,,PHARMACOECONOMICS,PHARMACOECONOMICS,[ECONOMICS],,
[1536-9323],,,Journal of the Association for Information Systems,"MIS,KM",,,,,
[0973-6719],International Journal of Economics,[3502],,,,,,,
[1524-9050],,,IEEE Transactions on Intelligent Transportation Systems,"OR,MS,POM",,,,,
"[1387-3741, 1572-9400]","Health Services and Outcomes Research Methodology: an international journal devoted to quantitative methods for the study of the utilization, quality, cost and outcomes of health care",[35],,,,,,,
"[0254-9204, 2519-0431]",Pakistan Journal of Applied Economics,[3801],,,,,,,
[1556-5793],"Journal of Accounting, Finance and Management Strategy","[3502, 3505, 3507]",,,,,,,
"[1935-519X, 1935-5181]",,,,,American Journal of Business,AM J BUS,[BUSINESS],,
"[0972-5814, 1941-899X]",Journal of Management Research,"[3505, 3507]",,,,,,,
"[1648-3480, 1648-4142]",Transport,[3509],,,,,,,
"[1754-9957, 1754-9965]",,,,,Journal of World Energy Law & Business,J WORLD ENERGY LAW B,[BUSINESS],,
"[1478-1484, 1741-8135]",International Journal of Management Concepts and Philosophy,"[3505, 3507]",,,,,,,
"[1845-9757, 1846-887X]",Financial Theory and Practice,[3502],,,,,,,
[0360-8352],,,Computers and Industrial Engineering,"OR,MS,POM",,,,,
[2180-3838],,,,,Asian Journal of Accounting and Governance,ASIAN J ACCOUNT GOV,"['BUSINESS, FINANCE']",,
"[2050-3636, 2050-3644]",,,,,Middle East Journal of Management,MIDDLE EAST J MANAG,[MANAGEMENT],,
"[1546-2609, 2378-9670]",Review of Business Research,[3507],,,,,,,
[1053-7287],Journal of Global Business,"[3505, 3507]",,,,,,,
"[1741-5373, 1741-5381]",International Journal of Logistics Economics and Globalisation,[3801],,,,,,,
[0386-4448],Accounting,[3501],,,,,,,
[0041-1655],,,Transportation Science,"OR,MS,POM",TRANSPORTATION SCIENCE,TRANSPORT SCI,[TRANSPORTATION],,
[1535-0568],The Consortium Journal of Hospitality and Tourism,"[3504, 3508]",,,,,,,
[0308-518X],,,Environment and Planning A,PSM,,,,,
[0115-9143],Philippine Journal of Development,[3801],,,,,,,
"[1492-9759, 1492-9767]",,,,,International Productivity Monitor,INT PRODUCT MONIT,[ECONOMICS],,
"[2224-4441, 2226-5139]",International Journal of Asian Social Science,[3507],,,,,,,
[0968-7017],Briefing Notes in Economics,"[3801, 3802, 3803]",,,,,,,
[2327-2236],,,,,Journal of Health Economics and Outcomes Research,J HEALTH ECON OUTCOM,[ECONOMICS],,
[1463-1431],Journal of Selling and Major Account Management,"[3506, 3507]",,,,,,,
[1050-3293],,,Communication Theory,Comm,,,,,
[1804-9796],,,,,International Journal of Economic Sciences,INT J ECON SCI,[ECONOMICS],,
[1459-0980],Conradi Research Review,[3507],,,,,,,
[1743-1999],Accounting and Finance in Transition,"[3501, 3502]",,,,,,,
[0340-0727],,,Psychological Research,Psychology,,,,,
[0254-5330],,,Annals of Operations Research,"OR,MS,POM",,,,,
[0007-1315],,,British Journal of Sociology,Sociology,,,,,
"[1729-7427, 2618-6977]",,,,,Rossiiskii Zhurnal Menedzhmenta-Russian Management Journal,ROSS ZH MENEDZH,[MANAGEMENT],,
[2036-5195],"Almatourism: journal of tourism, culture and territorial development",[3508],,,,,,,
[1386-9620],,,Health Care Management Science,"MIS,KM",,,,,
[2772-4247],,,,,Communications in Transportation Research,COMMUN TRANSP RES,[TRANSPORTATION],,
"[1499-8653, 1911-382X, 1911-3838]",Accounting Perspectives,[3501],,,Accounting Perspectives,ACCOUNT PERSPECT,"['BUSINESS, FINANCE']",Accounting Perspectives,"[2000, 1400]"
"[2044-2084, 2044-2092, 2056-4945, 2056-4953]",Arts and the Market,[3506],,,Arts and the Market,ARTS MARK,[BUSINESS],Arts and the Market,[1400]
"[1746-5265, 1746-5273]",Baltic Journal of Management,"[3505, 3507]",,,Baltic Journal of Management,BALT J MANAG,[MANAGEMENT],Baltic Journal of Management,[1400]
"[0007-4918, 1472-7234]",,,Bulletin of Indonesian Economic Studies,Economics,BULLETIN OF INDONESIAN ECONOMIC STUDIES,B INDONES ECON STUD,[ECONOMICS],Bulletin of Indonesian Economic Studies,[2000]
"[1052-150X, 2153-3326]",,,Business Ethics Quarterly,"OS/OB,HRM/IR",BUSINESS ETHICS QUARTERLY,BUS ETHICS Q,[BUSINESS],Business Ethics Quarterly,"[2000, 1400]"
"[2327-798X, 2327-9176]",Change Management,[3507],,,,,,Change Management,[1400]
"[1755-3091, 2214-1421]",China Journal of Accounting Research,"[3501, 3502]",,,China Journal of Accounting Research,CHINA J ACCOUNT RES,"['BUSINESS, FINANCE']",China Journal of Accounting Research,"[2000, 1400]"
"[1863-2505, 1863-2513]",,,,,Cliometrica,CLIOMETRICA,[ECONOMICS],Cliometrica,[2000]
"[2164-5744, 2164-5760]",Critical Finance Review,[3502],Critical Finance Review,F&A,Critical Finance Review,CRIT FINANC REV,"['BUSINESS, FINANCE']",Critical Finance Review,[2000]
[1749-852X],,,,,Economics of Peace and Security Journal,ECON PEACE SECUR J,[ECONOMICS],Economics of Peace and Security Journal,"[2000, 1400]"
"[0967-0750, 1468-0351, 2577-6983, 2577-6975]",Economics of Transition and Institutional Change,"[3502, 3801]",Economics of Transition,Economics,Economics of Transition and Institutional Change,ECON TRANSIT I CHANG,[ECONOMICS],Economics of Transition and Institutional Change,[2000]
"[0309-0566, 1758-7123]",European Journal of Marketing,[3506],European Journal of Marketing,Marketing,EUROPEAN JOURNAL OF MARKETING,EUR J MARKETING,[BUSINESS],European Journal of Marketing,[1400]
"[0967-2567, 1469-5936]",,,European Journal of the History of Economic Thought,Economics,European Journal of the History of Economic Thought,EUR J HIST ECON THOU,[ECONOMICS],European Journal of the History of Economic Thought,[2000]
"[0165-1587, 1464-3618]",European Review of Agricultural Economics,[3801],European Review of Agricultural Economics,Economics,EUROPEAN REVIEW OF AGRICULTURAL ECONOMICS,EUR REV AGRIC ECON,[ECONOMICS],European Review of Agricultural Economics,[2000]
"[1354-5701, 1466-4372]",,,,,FEMINIST ECONOMICS,FEM ECON,[ECONOMICS],Feminist Economics,"[2000, 1400]"
"[0046-3892, 1755-053X]",Financial Management,[3502],Financial Management,F&A,FINANCIAL MANAGEMENT,FINANC MANAGE,"['BUSINESS, FINANCE']",Financial Management,"[2000, 1400]"
"[1389-9341, 1872-7050]",,,,,Forest Policy and Economics,FOREST POLICY ECON,[ECONOMICS],Forest Policy and Economics,[2000]
"[1567-2395, 1567-2409, 1930-8248]",Foundations and Trends in Finance,[3502],,,,,,Foundations and Trends in Finance,[2000]
[1947-3788],IBIMA Business Review,[35],,,,,,IBIMA Business Review,[1400]
"[1016-8737, 1743-517X]",International Economic Journal,"[3801, 3802, 3803]",,,INTERNATIONAL ECONOMIC JOURNAL,INT ECON J,[ECONOMICS],International Economic Journal,[2000]
"[1612-4804, 1612-4812]",International Economics and Economic Policy,"[3502, 3801]",,,INTERNATIONAL ECONOMICS AND ECONOMIC POLICY,INT ECON ECON POL,[ECONOMICS],International Economics and Economic Policy,[2000]
"[2334-4547, 2334-4555]",,,,,International Journal of Business Analytics,INT J BUS ANAL,[BUSINESS],International Journal of Business Analytics,[1400]
"[1837-6614, 1985-692X]",International Journal of Business and Management Science,[3507],,,,,,International Journal of Business and Management Science,"[2000, 1400]"
"[1756-0047, 1756-0055]",International Journal of Business Excellence,"[3503, 3505, 3507]",,,,,,International Journal of Business Excellence,[1400]
"[1741-3591, 1746-6539]",International Journal of Disclosure and Governance,[3501],,,International Journal of Disclosure and Governance,INT J DISCL GOV,[MANAGEMENT],International Journal of Disclosure and Governance,"[2000, 1400]"
"[1742-7355, 1742-7363]",International Journal of Economic Theory,"[3801, 3803]",,,International Journal of Economic Theory,INT J ECON THEORY,[ECONOMICS],International Journal of Economic Theory,[2000]
"[0167-7187, 1873-7986]",International Journal of Industrial Organization,"[3801, 3803, 3507]",International Journal of Industrial Organization,"OS/OB,HRM/IR",INTERNATIONAL JOURNAL OF INDUSTRIAL ORGANIZATION,INT J IND ORGAN,[ECONOMICS],International Journal of Industrial Organization,"[2000, 1400]"
[0147-1767],,,International Journal of Intercultural Relations,"OS/OB,HRM/IR",,,,International Journal of Intercultural Relations,[1400]
"[1479-4853, 1479-4861]",International Journal of Learning and Intellectual Capital,"[3503, 3507]",,,INTERNATIONAL JOURNAL OF LEARNING AND INTELLECTUAL CAPITAL,INT J LEARN INTELL C,"[MANAGEMENT, BUSINESS]",International Journal of Learning and Intellectual Capital,[1400]
"[1460-8545, 1468-2370]",International Journal of Management Reviews,"[3502, 3505, 3507]",International Journal of Management Reviews,Gen & Strat,INTERNATIONAL JOURNAL OF MANAGEMENT REVIEWS,INT J MANAG REV,"[MANAGEMENT, BUSINESS]",International Journal of Management Reviews,[1400]
"[1460-6720, 1741-525X]",International Journal of Services Technology and Management,"[3503, 3507]",,,International Journal of Services Technology and Management,INT J SERV TECHNOL M,[MANAGEMENT],International Journal of Services Technology and Management,[1400]
"[1099-2340, 1522-1970]",International Journal of Tourism Research,"[3506, 3508]",International Journal of Tourism Research,Tourism,,,,International Journal of Tourism Research,[1400]
[1869-6945],International Journal on Food System Dynamics,[3801],,,,,,International Journal on Food System Dynamics,"[2000, 1400]"
"[1059-0560, 1873-8036]",International Review of Economics and Finance,"[3501, 3502, 3801]",International Review of Economics and Finance,Economics,International Review of Economics & Finance,INT REV ECON FINANC,"[ECONOMICS, 'BUSINESS, FINANCE']",International Review of Economics and Finance,[2000]
"[0278-4254, 1873-2070]",,,Journal of Accounting and Public Policy,F&A,JOURNAL OF ACCOUNTING AND PUBLIC POLICY,J ACCOUNT PUBLIC POL,"['BUSINESS, FINANCE']",Journal of Accounting and Public Policy,[1400]
"[2042-1168, 2042-1176]",Journal of Accounting in Emerging Economies,[3501],,,Journal of Accounting in Emerging Economies,J ACCOUNT EMERG ECON,"['BUSINESS, FINANCE']",Journal of Accounting in Emerging Economies,[1400]
"[0021-8456, 1475-679X]",Journal of Accounting Research,"[3501, 3502]",Journal of Accounting Research,F&A,JOURNAL OF ACCOUNTING RESEARCH,J ACCOUNT RES,"['BUSINESS, FINANCE']",Journal of Accounting Research,"[2000, 1400]"
[1018-1687],,,,,Journal of Accounting Review,J ACCOUNT REV,"['BUSINESS, FINANCE']",Journal of Accounting Review,[1400]
"[0021-857X, 1477-9552]",Journal of Agricultural Economics,[3801],,,JOURNAL OF AGRICULTURAL ECONOMICS,J AGR ECON,[ECONOMICS],Journal of Agricultural Economics,[2000]
"[1476-5284, 1476-5292]",Journal of Chinese Economics and Business Studies,"[3502, 3801]",,,Journal of Chinese Economic and Business Studies,J CHIN ECON BUS STUD,[ECONOMICS],Journal of Chinese Economic and Business Studies,[2000]
"[0022-0078, 1745-6606]",Journal of Consumer Affairs,[3506],Journal of Consumer Affairs,Marketing,JOURNAL OF CONSUMER AFFAIRS,J CONSUM AFF,"[ECONOMICS, BUSINESS]",Journal of Consumer Affairs,[2000]
"[0899-8620, 2640-8872]","Journal of Consumer Satisfaction, Dissatisfaction and Complaining Behavior",[3506],,,,,,"Journal of Consumer Satisfaction, Dissatisfaction and Complaining Behavior",[1400]
"[0165-1889, 1879-1743]",Journal of Economic Dynamics and Control,"[3502, 3802, 3803]",Journal of Economic Dynamics and Control,Economics,JOURNAL OF ECONOMIC DYNAMICS & CONTROL,J ECON DYN CONTROL,[ECONOMICS],Journal of Economic Dynamics and Control,[2000]
"[1225-651X, 1976-5525]",,,,,JOURNAL OF ECONOMIC INTEGRATION,J ECON INTEGR,[ECONOMICS],Journal of Economic Integration,[2000]
"[1058-6407, 1530-9134]",Journal of Economics and Management Strategy,"[3502, 3801]",Journal of Economics and Management Strategy,Economics,JOURNAL OF ECONOMICS & MANAGEMENT STRATEGY,J ECON MANAGE STRAT,"[ECONOMICS, MANAGEMENT]",Journal of Economics and Management Strategy,"[2000, 1400]"
[1326-4443],Journal of Empirical Generalisations in Marketing Science,[3506],,,,,,Journal of Empirical Generalisations in Marketing Science,[1400]
"[1049-6483, 1528-6967]",Journal of Euromarketing,[3506],,,,,,Journal of Euromarketing,[1400]
"[0304-405X, 1879-2774]",Journal of Financial Economics,"[3502, 3801]",Journal of Financial Economics,F&A,JOURNAL OF FINANCIAL ECONOMICS,J FINANC ECON,"[ECONOMICS, 'BUSINESS, FINANCE']",Journal of Financial Economics,"[2000, 1400]"
"[2220-9352, 2306-6784]",Journal of Governance and Regulation,"[3501, 3507, 3801]",,,,,,Journal of Governance and Regulation,"[2000, 1400]"
"[0954-1314, 1467-646X]",Journal of International Financial Management and Accounting,"[3501, 3502]",Journal of International Financial Management and Accou,F&A,Journal of International Financial Management & Accounting,J INT FIN MANAG ACC,"['BUSINESS, FINANCE']",Journal of International Financial Management and Accounting,"[2000, 1400]"
"[2327-0012, 2327-0039]",Journal of Management Analytics,"[3503, 3507]",,,Journal of Management Analytics,J MANAG ANAL,"[MANAGEMENT, BUSINESS]",Journal of Management Analytics,[1400]
"[1552-6658, 1052-5629]",,,Journal of Management Education,Education,,,,Journal of Management Education,[1400]
"[1046-669X, 1540-7039, 2694-3980, 2694-3999]",Journal of Inter-Organizational Relationships,[3506],,,Journal of Inter-Organizational Relationships,J INTER-ORGAN RELATS,[BUSINESS],Journal of Marketing Channels,[1400]
"[2046-6749, 2046-6757]",,,,,Journal of Organizational Ethnography,J ORGAN ETHNOGR,[MANAGEMENT],Journal of Organizational Ethnography,[1400]
"[0276-8739, 1520-6688]",,,,,JOURNAL OF POLICY ANALYSIS AND MANAGEMENT,J POLICY ANAL MANAG,[ECONOMICS],Journal of Policy Analysis and Management,[1400]
"[0737-6782, 1540-5885]",,,Journal of Product Innovation Management,Innovation,JOURNAL OF PRODUCT INNOVATION MANAGEMENT,J PROD INNOVAT MANAG,"[MANAGEMENT, BUSINESS]",Journal of Product Innovation Management,[1400]
"[0743-9156, 1547-7207]",,,Journal of Public Policy and Marketing,Marketing,JOURNAL OF PUBLIC POLICY & MARKETING,J PUBLIC POLICY MARK,[BUSINESS],Journal of Public Policy and Marketing,"[2000, 1400]"
"[1476-6930, 1477-657X]",Journal of Revenue and Pricing Management,"[35, 38]",,,Journal of Revenue and Pricing Management,J REVENUE PRICING MA,"['BUSINESS, FINANCE']",Journal of Revenue and Pricing Management,"[2000, 1400]"
"[1747-7646, 0966-9582]",,,Journal of Sustainable Tourism,Tourism,,,,Journal of Sustainable Tourism,[1400]
"[1469-9656, 1053-8372]",,,Journal of the History of Economic Thought,Economics,,,,Journal of the History of Economic Thought,[2000]
"[1477-8238, 1477-8246]",,,,,Knowledge Management Research & Practice,KNOWL MAN RES PRACT,[MANAGEMENT],Knowledge Management Research and Practice,[1400]
"[0927-5371, 1879-1034]",,,Labour Economics,Economics,LABOUR ECONOMICS,LABOUR ECON,[ECONOMICS],Labour Economics,"[2000, 1400]"
"[0893-3189, 1552-6798]",,,Management Communication Quarterly,Gen & Strat,Management Communication Quarterly,MANAGE COMMUN Q,[MANAGEMENT],Management Communication Quarterly,[1400]
[1742-3945],,,,,Manchester Journal of International Economic Law,MANCH J INT ECON LAW,[ECONOMICS],Manchester Journal of International Economic Law,[2000]
"[0738-1360, 2334-5985]",,,,,Marine Resource Economics,MAR RESOUR ECON,[ECONOMICS],Marine Resource Economics,[2000]
"[2049-372X, 2049-3738]",Meditari Accountancy Research,[3501],,,Meditari Accountancy Research,MEDITARI ACCOUNT RES,"['BUSINESS, FINANCE']",Meditari Accountancy Research,"[2000, 1400]"
"[0170-8406, 1741-3044]",Organization Studies,[35],Organization Studies,"OS/OB,HRM/IR",ORGANIZATION STUDIES,ORGAN STUD,[MANAGEMENT],Organization Studies,[1400]
"[2041-3866, 2041-3874]",,,Organizational Psychology Review,"OS/OB,HRM/IR",Organizational Psychology Review,ORGAN PSYCHOL REV,[MANAGEMENT],Organizational Psychology Review,[1400]
"[0266-903X, 1460-2121]",Oxford Review of Economic Policy,"[3502, 3801]",Oxford Review of Economic Policy,Economics,OXFORD REVIEW OF ECONOMIC POLICY,OXFORD REV ECON POL,[ECONOMICS],Oxford Review of Economic Policy,[2000]
"[1751-4304, 1751-4312]",,,,,Proceedings of the Institution of Civil Engineers-Management Procurement and Law,PROC INST CIV ENG-MA,[MANAGEMENT],"Proceedings of Institution of Civil Engineers: Management, Procurement and Law",[1400]
"[2210-5395, 2210-5409]",Research in Transportation Business and Management,[3509],,,Research in Transportation Business and Management,RES TRANSP BUS MANAG,"[MANAGEMENT, BUSINESS, TRANSPORTATION]",Research in Transportation Business and Management,"[2000, 1400]"
"[2049-5323, 2049-5331]",Review of Keynesian Economics,"[3502, 3801, 3803]",,,Review of Keynesian Economics,REV KEYNES ECON,[ECONOMICS],Review of Keynesian Economics,[2000]
"[1806-4892, 1983-0807]",,,,,RBGN-Revista Brasileira de Gestao de Negocios,RBGN-REV BRAS GEST N,"[MANAGEMENT, BUSINESS]",Revista Brasileira de Gestao de Negocios,[1400]
"[2313-8114, 2518-1254]",,,,,Scientific Bulletin of Mukachevo State University-Series Economics,SCI B MUKACHEVO-ECON,"['BUSINESS, FINANCE']",Scientific Bulletin of Mukachevo State University. Series Economics,"[2000, 1400]"
"[1932-4391, 1932-443X]",Strategic Entrepreneurship Journal,[3507],Strategic Entrepreneurship Journal,Gen & Strat,Strategic Entrepreneurship Journal,STRATEG ENTREP J,"[MANAGEMENT, BUSINESS]",Strategic Entrepreneurship Journal,"[2000, 1400]"
"[1659-3359, 1659-2395]",,,,,Tec Empresarial,TEC EMPRESARIAL,[MANAGEMENT],Tec Empresarial,[1400]
"[1544-273X, 2169-0197]",Tourism in Marine Environments,[3508],,,,,,Tourism in Marine Environments,[1400]
"[0261-5177, 1879-3193]","Tourism Management: research, policies, practice","[3504, 3508]",Tourism Management,Tourism,Tourism Management,TOURISM MANAGE,[MANAGEMENT],Tourism Management,[1400]
"[1573-7888, 0957-8765]",,,VOLUNTAS,"PSM, OS/OB,HRM/IR",,,,Voluntas,[1400]
"[1751-8202, 2056-6271]",The Journal of Business and Retail Management Research,[3507],,,,,,Journal of Business and Retail Management Research,[1400]
"[1533-2845, 1533-2853]",Journal of Human Resources in Hospitality & Tourism,"[3505, 3507, 3508]",,,,,,Journal of Human Resources in Hospitality and Tourism,[1400]
"[1474-2748, 2040-0551]",International Journal of Technology Management and Sustainable Development,[3507],,,,,,International Journal of Technology Management and Sustainable Development,[1400]
"[1018-161X, 1810-4851]",Academia Economic Papers,"[3801, 3802, 3803]",,,,,,Academia Economic Papers,[2000]
"[0008-1256, 2162-8564]",California Management Review,[3507],California Management Review,Gen & Strat,CALIFORNIA MANAGEMENT REVIEW,CALIF MANAGE REV,"[MANAGEMENT, BUSINESS]",California Management Review,[1400]
"[1059-5422, 2051-3143]",Competitiveness Review,[3507],,,Competitiveness Review,COMPET REV,[BUSINESS],Competitiveness Review,[1400]
"[0275-6668, 2052-1197]",Journal of Business Strategy,"[3506, 3507]",Journal of Business Strategy,Gen & Strat,,,,Journal of Business Strategy,[1400]
"[1618-7598, 1618-7601]",,,European Journal of Health Economics,Economics,European Journal of Health Economics,EUR J HEALTH ECON,[ECONOMICS],European Journal of Health Economics,[2000]
"[0949-2984, 1432-1122]",,,Finance and Stochastics,F&A,FINANCE AND STOCHASTICS,FINANC STOCH,"['BUSINESS, FINANCE']",Finance and Stochastics,[2000]
"[0167-8116, 1873-8001]",International Journal of Research in Marketing,[3506],International Journal of Research in Marketing,Marketing,INTERNATIONAL JOURNAL OF RESEARCH IN MARKETING,INT J RES MARK,[BUSINESS],International Journal of Research in Marketing,[1400]
"[1042-9247, 2377-0643]",,,,,Engineering Management Journal,ENG MANAG J,[MANAGEMENT],EMJ - Engineering Management Journal,[1400]
"[0926-6437, 1874-6322]","Journal of Income Distribution: an international journal, New Series",[3803],,,,,,Journal of Income Distribution,[2000]
"[0964-4733, 1099-0836]",Business Strategy and the Environment,"[3501, 3502, 3507]",Business Strategy and the Environment,Gen & Strat,Business Strategy and the Environment,BUS STRATEG ENVIRON,"[MANAGEMENT, BUSINESS]",Business Strategy and the Environment,[1400]
"[1937-321X, 2151-318X]",,,,,Journal of Neuroscience Psychology and Economics,J NEUROSCI PSYCHOL E,[ECONOMICS],"Journal of Neuroscience, Psychology, and Economics","[2000, 1400]"
"[1390-6291, 1390-8618]",,,,,Retos-Revista de Ciencias de la Administracion y Economia,RETOS-REV CIENC ADM,[ECONOMICS],Retos (Ecuador),"[2000, 1400]"
"[2397-3757, 2397-3765]",Maritime Business Review,"[3503, 3507, 3509]",,,Maritime Business Review,MARIT BUS REV,"[MANAGEMENT, BUSINESS, TRANSPORTATION]",Maritime Business Review,[1400]
"[1350-5084, 1461-7323]",,,Organization,"OS/OB,HRM/IR",ORGANIZATION,ORGANIZATION,[MANAGEMENT],Organization,[1400]
"[2042-5961, 2042-597X]",,,,,World Journal of Entrepreneurship Management and Sustainable Development,WORLD J ENTREP MANAG,[MANAGEMENT],"World Journal of Entrepreneurship, Management and Sustainable Development","[2000, 1400]"
[2147-9100],,,,,,,,Advances in Hospitality and Tourism Research,[1400]
[2959-9784],,,,,,,,Agricultural and Rural Studies,[2000]
[1537-937X],,,,,,,,Annals of Cases on Information Technology,[1400]
[1578-4487],,,,,,,,Applied Econometrics and International Development,[2000]
"[1610-2932, 1612-1031]",,,,,,,,Asia Europe Journal,[1400]
"[1229-0351, 2713-6531]",,,,,,,,Asian Review of Financial Research,[2000]
[2731-5835],,,,,,,,Asian Review of Political Economy,"[2000, 1400]"
"[1343-9006, 1469-2937]",,,,,,,,Asia-Pacific Review,[2000]
"[1999-2521, 1999-253X]",,,,,,,,Austrian Journal of South-East Asian Studies,[1400]
[1616-8216],,,,,,,,AutoTechnology,[1400]
[2378-1394],,,,,,,,BioProducts Business,[1400]
"[3005-6810, 3005-6829]",,,,,,,,Business Performance Review,"[2000, 1400]"
[1544-9106],,,,,,,,CASE Journal,[1400]
[2772-3909],,,,,,,,Cleaner Logistics and Supply Chain,[1400]
[1534-6005],,,,,,,,Contributions to Macroeconomics,[2000]
"[0120-3592, 1900-7205]",,,,,,,,Cuadernos de Administracion,"[2000, 1400]"
"[1804-6746, 1804-8285]",,,,,,,,Danube,[2000]
"[2524-6984, 2524-6186]",,,,,,,,Digital Finance,[2000]
"[2398-5038, 2398-5046]",,,,,,,,"Digital Policy, Regulation and Governance",[1400]
"[2068-651X, 2068-6633]",,,,,,,,Eastern Journal of European Studies,[2000]
[0185-0458],,,,,,,,"Economia Mexicana, Nueva Epoca",[2000]
[0013-0613],,,,,,,,Economist (United Kingdom),"[2000, 1400]"
[2985-1688],,,,,,,,Engineering and Technology Horizons,[1400]
"[2195-4194, 2195-2248]",,,,,,,,European Journal of Futures Research,"[2000, 1400]"
"[0149-7189, 1873-7870]",,,,,,,,Evaluation and Program Planning,[1400]
[2674-1032],,,,,,,,FinTech,[2000]
"[1066-3487, 2476-1699]",,,,,,,,Florida Tax Review,"[2000, 1400]"
"[0117-9470, 2523-6520]",,,,,,,,Fuels and Lubes International,[2000]
[2159-2977],,,,,,,,Graziadio Business Review,"[2000, 1400]"
"[1064-6175, 1096-4649]",,,,,,,,Howard Journal of Communications,[1400]
"[0973-7030, 2456-480X]",,,,,,,,Indian Journal of Human Development,[2000]
"[0950-4222, 2043-6858]",,,,,,,,Industry and Higher Education,[1400]
"[1392-0561, 1392-1487]",,,,,,,,Informacijos Mokslai,[1400]
[1080-286X],,,,,,,,Information Management,[1400]
"[1098-3058, 1943-4294]",,,,,,,,Information Technology and Tourism,[1400]
[1754-4548],,,,,,,,Infosecurity,[1400]
"[1351-1610, 1469-8412]",,,,,,,,Innovation: The European Journal of Social Science Research,[1400]
"[2616-3551, 2522-9591]",,,,,,,,Insurance Markets and Companies,"[2000, 1400]"
[0146-6518],,,,,,,,International Journal for Housing Science and Its Applications,[1400]
"[1947-9247, 1947-9255]",,,,,,,,International Journal of Customer Relationship Marketing and Management,[1400]
