,Name,Group,Class,id,short_id,display_name,hint,cited_by_count,works_count,entity_type,external_id,filter_key
1,"El Ghoul, Sadok",C,Moskowitz Prize,https://openalex.org/A5091466387,authors/A5091466387,Sadok El Ghoul,"Dalhousie University, Canada",14795,251,author,https://orcid.org/0000-0002-9405-6114,authorships.author.id
8,"Song, Malin",T,HCP,https://openalex.org/A5017225494,authors/A5017225494,Malin Song,"Shandong University, China",6472,120,author,https://orcid.org/0000-0002-1122-1066,authorships.author.id
1,"Yousaf, Imran",T,HCP,https://openalex.org/A5087544432,authors/A5087544432,Imran Yousaf,"University of Jordan, Jordan",5470,153,author,https://orcid.org/0000-0003-1968-293X,authorships.author.id
6,"Su, Chi-Wei",T,HCP,https://openalex.org/A5079462108,authors/A5079462108,Chi‐Wei Su,"Qingdao University, China",14698,439,author,https://orcid.org/0000-0001-9722-8105,authorships.author.id
0,"Abedin, Mohammad Zoynul",T,HCP,https://openalex.org/A5047331779,authors/A5047331779,Mohammad Zoynul Abedin,"Swansea University, UK",5516,258,author,https://orcid.org/0000-0002-4688-0619,authorships.author.id
1,"Budhwar, Pawan",T,HCP,https://openalex.org/A5055856506,authors/A5055856506,Pawan Budhwar,"Aston University, UK",19228,456,author,https://orcid.org/0000-0001-8915-6172,authorships.author.id
1,"Dabic, Marina",T,HCP,https://openalex.org/A5017353394,authors/A5017353394,Marina Dabić,"University of International Business and Economics, China",12239,426,author,https://orcid.org/0000-0001-8374-9719,authorships.author.id
1,"Lim, Weng Marc",T,HCP,https://openalex.org/A5045594204,authors/A5045594204,Weng Marc Lim,"Jaipuria Institute of Management, India",33476,398,author,https://orcid.org/0000-0001-7196-1923,authorships.author.id
1,"Churchill, Sefa Awaworyi",T,HCP,https://openalex.org/A5053415289,authors/A5053415289,Sefa Awaworyi Churchill,"MIT University, North Macedonia",7073,215,author,https://orcid.org/0000-0002-1930-9177,authorships.author.id
1,"Dhir, Amandeep",T,HCP,https://openalex.org/A5008359350,authors/A5008359350,Amandeep Dhir,"University of Agder, Norway",29920,311,author,,authorships.author.id
8,"Wright, Mike",T,HCP,https://openalex.org/A5076562729,authors/A5076562729,Mike Wright,,280,20,author,,authorships.author.id
4,"Shepherd, Dean A.",C,Several awards,https://openalex.org/A5011084627,authors/A5011084627,Dean A. Shepherd,"University of Notre Dame, USA",55436,489,author,https://orcid.org/0000-0003-4269-1826,authorships.author.id
3,"Lau, Chi Keung",T,HCP,https://openalex.org/A5032606372,authors/A5032606372,Chi-Keung Lau,,175,11,author,,authorships.author.id
2,"Urquhart, Andrew",T,HCP,https://openalex.org/A5087571137,authors/A5087571137,Michael P. Clements,"ICMA Centre, UK",9703,236,author,https://orcid.org/0000-0001-6329-1341,authorships.author.id
4,"Vismara, Silvio",T,HCP,https://openalex.org/A5007113028,authors/A5007113028,Silvio Vismara,"University of Bergamo, Italy",10584,290,author,https://orcid.org/0000-0001-5411-0326,authorships.author.id
9,"Zhang, Dayong",T,HCP,https://openalex.org/A5050809806,authors/A5050809806,Dayong Zhang,"Dalian Ocean University, China",16306,277,author,https://orcid.org/0000-0001-8722-176X,authorships.author.id
7,"Hao, Yu",T,HCP,https://openalex.org/A5100633532,authors/A5100633532,Yu Hao,"Peking University, China",457,72,author,https://orcid.org/0000-0002-0515-4506,authorships.author.id
