unit_idx,unit_type,name,issn,field_eb,country_code,a_p,v_EBAX,rank_EBAX,v_E,rank_E,v_B,rank_B,v_A,rank_A,v_X,rank_X,v_eps1,rank_eps1,ext_balance
2610724,institution,Chemnitz University of Technology,,,DE,77.5172,0.640373,979,0.959666,420,0.560337,1102,0.301393,1242,0.606896,1072,0.755154,1362,0.167558
55432613,source,Journal of East-West Business,1066-9868,B,,73,0.258863,980,,580,0.149938,589,,127,,54,0.289232,1055,-0.201465
200845125,institution,Nanjing University of Information Science and Technology,,,CN,231.29,0.640028,980,0.603482,776,0.640698,981,0.498156,957,1.11666,599,1.24247,495,0.172047
4210151987,institution,Ministry of Agriculture and Rural Affairs,,,CN,82.0263,0.639681,981,0.431232,1089,0.513634,1182,0.398362,1094,1.09724,621,0.980985,882,0.00639543
4210201520,source,The Japanese Political Economy,2329-194X,E,,61,0.258603,981,0.250871,374,,779,,127,,54,0.147466,1300,-0.323944
99682543,institution,University of Minho,,,PT,267.827,0.639593,982,0.713563,623,0.610948,1020,0.444158,1031,1.11133,603,0.95771,934,0.234125
4210202595,source,International Journal of Financial Engineering,2424-7863,E,,191,0.258264,982,0.188042,419,,779,,127,,54,0.237228,1142,-0.015873
189109744,institution,Indian Institute of Technology Dhanbad,,,IN,134.479,0.639419,983,0.241571,1538,0.560746,1101,1.19644,384,1.72831,188,1.51057,245,0.264998
47854491,source,International Journal of Entrepreneurial Venturing,1742-5360,B,,133,0.257304,983,,580,0.262114,508,,127,,54,0.222019,1167,0.960976
168416876,institution,Northern Kentucky University,,,US,56.0444,0.63861,984,0.626453,740,0.699889,909,0.41964,1067,,1658,0.654143,1555,0.236209
4210192575,source,GLOBAL BUSINESS & FINANCE REVIEW,1088-6931,B,,42,0.256208,984,,580,0.261564,510,,127,,54,0.291271,1047,-0.015873
4210191200,source,Applied Economic Analysis,2632-7627,E,,62,0.255774,985,0.211561,398,,779,,127,,54,0.377805,916,-0.118056
124601658,institution,University of Parma,,,IT,141.231,0.638021,985,0.763336,575,0.566689,1092,0.465163,996,0.836765,869,0.833929,1192,0.225537
101479585,institution,South China Agricultural University,,,CN,170.096,0.637868,986,0.369567,1227,0.541708,1133,1.44522,303,2.09366,99,0.951709,948,0.143344
51113653,source,The Engineering Economist,0013-791X,E,,58,0.255002,986,0.304703,347,,779,,127,,54,0.233814,1149,-0.142857
4210210758,source,Asian Journal of Business Research,1178-8933,B,,68,0.254559,987,,580,0.260145,512,,127,,54,0.476672,770,0.0622407
36399199,institution,Nanjing University of Science and Technology,,,CN,262.268,0.637055,987,0.815582,528,0.538164,1137,1.11092,428,0.673701,1002,0.927271,1001,0.128213
46176106,institution,Universidad de Burgos,,,ES,84.5619,0.636523,988,0.254826,1504,0.683135,932,0.269827,1284,1.68414,202,1.04566,774,0.399234
4210203108,source,Asia-Pacific Journal of Accounting & Economics,1608-1625,A,,240,0.254465,988,,580,,779,0.347565,45,,54,0.244258,1129,0.259101
184693016,institution,China Medical University,,,TW,22.9784,0.635956,989,0.431731,1088,0.597503,1051,0.707224,747,1.99348,111,1.43465,300,0.292223
4210232391,source,Journal of Innovation Management,2183-0606,B,,100,0.253918,989,,580,0.265454,505,,127,,54,0.396177,886,0.0232558
4210195452,source,FIIB Business Review,2319-7145,B,,262,0.253425,990,,580,0.252131,519,,127,,54,0.498295,745,-0.165655
162030827,institution,Thapar Institute of Engineering & Technology,,,IN,112.414,0.635547,990,0.399234,1153,0.505934,1195,0.565735,878,2.23873,76,1.22572,507,0.436175
184746854,institution,Lincoln University,,,NZ,129.864,0.635189,991,0.629275,732,0.598373,1049,0.984864,516,0.73118,959,1.09606,688,0.196708
2737852900,source,Review of Economic Analysis,1973-3909,E,,74,0.253183,991,0.224287,386,,779,,127,,54,0.180278,1231,0.295775
54459138,institution,University of Salford,,,GB,49.5331,0.634839,992,0.576189,822,0.743959,849,0.315004,1226,,1658,0.866165,1126,0.372665
4210218084,source,Complex Systems Informatics and Modeling Quarterly,2255-9922,B,,91,0.25278,992,,580,0.174443,565,,127,,54,0.194138,1208,-0.424837
51216347,institution,Anglia Ruskin University,,,GB,62.3842,0.634805,993,0.532464,880,0.665363,945,0.906322,574,0.469728,1226,0.822557,1223,0.302368
