,Name,Group,Class,id,short_id,display_name,hint,cited_by_count,works_count,external_id
0,"Le Barbanchon, Thomas",C,ERC,https://openalex.org/A5032219554,authors/A5032219554,Thomas Le Barbanchon,,1111.0,117.0,https://orcid.org/0000-0001-5329-0214
0,"Sadiq, Muhammad",T,HCP,https://openalex.org/A5024449095,authors/A5024449095,Muhammad Sadiq,"Fuzhou University, China",5997.0,94.0,https://orcid.org/0000-0002-6859-818X
0,"Levin, Jonathan",C,John_Bates_Clark_Medal,https://openalex.org/A5069334537,authors/A5069334537,Jonathan Levin,,9606.0,170.0,https://orcid.org/0000-0002-0975-7195
0,"Foucault, Thierry",C,ERC,https://openalex.org/A5109167594,authors/A5109167594,Thierry Foucault,"HEC Paris in Qatar, Qatar",5440.0,149.0,
0,"Biais, Bruno",C,ERC,https://openalex.org/A5006723379,authors/A5006723379,Bruno Biais,"HEC Paris, France",9339.0,188.0,
0,"Dagar, Vishal",T,HCP,https://openalex.org/A5042457507,authors/A5042457507,Vishal Dagar,"Great Lakes Institute of Management, India",6704.0,90.0,https://orcid.org/0000-0001-5032-1783
0,"Gabaix, Xavier",C,Fischer Black Prize,https://openalex.org/A5069579613,authors/A5069579613,Xavier Gabaix,"National Bureau of Economic Research, USA",28396.0,202.0,
0,"Kasahara, Hiroyuki",C,Nakahara_Prize,https://openalex.org/A5062503131,authors/A5062503131,Hiroyuki Kasahara,"Niigata University, Japan",9010.0,172.0,https://orcid.org/0000-0001-9413-6117
0,"Burgess, Robin",C,ERC,https://openalex.org/A5111807886,authors/A5111807886,Robin Burgess,"London School of Economics and Political Science, UK",10505.0,163.0,
0,"Hartzmark, Samuel M.",C,Moskowitz Prize,https://openalex.org/A5061802063,authors/A5061802063,Samuel M. Hartzmark,"Boston College, USA",3378.0,45.0,
0,"Karabarbounis, Loukas",C,German_Bernacer_Prize,https://openalex.org/A5069670842,authors/A5069670842,Loukas Karabarbounis,"University of Minnesota System, USA",5189.0,80.0,
1,"Dorn, David",C,Gossen_Prize,https://openalex.org/A5060691488,authors/A5060691488,David Dorn,"Ifo Institute for Economic Research, Germany",21516.0,155.0,https://orcid.org/0000-0002-1827-4734
0,"Dimson, Elroy",C,Moskowitz Prize,https://openalex.org/A5074071848,authors/A5074071848,Elroy Dimson,"University of Cambridge, UK",8938.0,146.0,https://orcid.org/0000-0003-3776-7988
0,"Mitman, Kurt",C,ERC,https://openalex.org/A5087954992,authors/A5087954992,Kurt Mitman,"Economic Policy Institute, USA",2804.0,85.0,https://orcid.org/0000-0003-3631-1073
1,"Sufi, Amir",C,Fischer Black Prize,https://openalex.org/A5042474653,authors/A5042474653,Philip E. Strahan,"Boston College, USA",24270.0,213.0,https://orcid.org/0000-0001-8634-6659
2,"Robin, Jean-Marc",C,ERC,https://openalex.org/A5076299639,authors/A5076299639,Jean‐Marc Robin,"Territoires, France",4941.0,240.0,https://orcid.org/0000-0002-3574-9359
0,"Childe, Stephen J.",T,HCP,https://openalex.org/A5052327280,authors/A5052327280,Stephen J. Childe,"University of Plymouth, UK",15574.0,129.0,https://orcid.org/0000-0002-9476-4209
0,"Zhao, Shikuan",T,HCP,https://openalex.org/A5077528082,authors/A5077528082,Shikuan Zhao,"Chongqing University, China",1580.0,45.0,https://orcid.org/0000-0001-7766-7071
0,"Cantoni, Davide",C,Gossen_Prize,https://openalex.org/A5061039550,authors/A5061039550,Davide Cantoni,"Ludwig-Maximilians-Universität München, Germany",2169.0,114.0,https://orcid.org/0000-0002-2654-3519
5,"Khan, Zeeshan",T,HCP,https://openalex.org/A5089850639,authors/A5089850639,Zeeshan Khan,"Bundelkhand University, India",12291.0,115.0,https://orcid.org/0000-0003-1374-0836
0,"Stambaugh, Robert F.",C,Fama–DFA Prize,https://openalex.org/A5023702151,authors/A5023702151,Robert F. Stambaugh,"University of Pennsylvania, USA",33462.0,149.0,
0,"Moxnes, Andreas",C,ERC,https://openalex.org/A5087528377,authors/A5087528377,Andreas Moxnes,"National Bureau of Economic Research, USA",2311.0,106.0,
2,"Yang, Cunyi",T,HCP,https://openalex.org/A5078637517,authors/A5078637517,Yong Tan,"University of Bradford, UK",4270.0,210.0,https://orcid.org/0000-0002-3482-1574
3,"Liu, Xiaoqian",T,HCP,https://openalex.org/A5100683619,authors/A5100683619,Xiaoqian Liu,"Ningbo University, China",3358.0,236.0,https://orcid.org/0009-0006-1919-6519
0,"Manova, Kalina",C,ERC,https://openalex.org/A5113264418,authors/A5113264418,Kalina Manova,"University College London, UK",6787.0,85.0,
0,"Barber, Brad M.",C,Moskowitz Prize,https://openalex.org/A5080437782,authors/A5080437782,Brad M. Barber,,38669.0,135.0,
0,"Chaney, Thomas",C,ERC,https://openalex.org/A5089888860,authors/A5089888860,Thomas Chaney,"University of Southern California, USA",3603.0,78.0,
0,"Tertilt, Michele",C,Gossen_Prize,https://openalex.org/A5042157664,authors/A5042157664,Michèle Tertilt,"University of Mannheim, Germany",7553.0,114.0,https://orcid.org/0000-0003-0605-4141
2,"Roth, Alvin E.",C,Nobel Prize,https://openalex.org/A5075977298,authors/A5075977298,Alvin E. Roth,"Stanford University, USA",41704.0,468.0,https://orcid.org/0000-0002-8834-6481
0,"Vayanos, Dimitri",C,SFI BEST PAPER AWARD,https://openalex.org/A5000113430,authors/A5000113430,Dimitri Vayanos,"Center for Economic and Policy Research, USA",9487.0,125.0,https://orcid.org/0000-0002-0944-4914
