source_name,era_journal_name,works_count,density,top_field,top_subfield
Gestão org,Revista Eletronica de Gestao Organizacional,381,0.0,Decision Sciences,Information Systems and Management
Transit,Transit,379,0.0,Social Sciences,Political Science and International Relations
Interdisciplinary Journal of Information Knowledge and Management,"Interdisciplinary Journal of Information, Knowledge, and Management",378,0.17,Decision Sciences,Information Systems and Management
Tourism in Marine Environments,Tourism in Marine Environments,377,0.0,Social Sciences,Transportation
Revista Galega de Economía,Revista Galega de Economia,376,0.382,Social Sciences,Political Science and International Relations
International Journal of Information Technology Project Management,International Journal of Information Technology Project Management,373,0.286,Decision Sciences,Management Science and Operations Research
Basic Income Studies,Basic Income Studies: an international journal of basic income research,372,0.148,Social Sciences,Political Science and International Relations
Advertising & Society Review,Advertising and Society Review,354,0.179,Social Sciences,Gender Studies
Advancing Women in Leadership Journal,Advancing Women in Leadership,353,0.0,Social Sciences,Gender Studies
Cuadernos de Relaciones Laborales,Cuadernos de Relaciones Laborales,349,0.0,Social Sciences,Safety Research
World Review of Intermodal Transportation Research,World Review of Intermodal Transportation Research,344,0.261,Engineering,Industrial and Manufacturing Engineering
Work Aging and Retirement,"Work, Aging and Retirement",342,0.101,Social Sciences,Demography
Asean Journal on Hospitality and Tourism,ASEAN Journal on Hospitality and Tourism,336,0.109,Social Sciences,Sociology and Political Science
UNLV Gaming Research & Review Journal,UNLV Gaming Research and Review Journal,336,0.265,Psychology,Clinical Psychology
International Journal of Knowledge and Systems Science,International Journal of Knowledge and Systems Science,335,0.202,Social Sciences,Communication
MOCT-MOST Economic Policy in Transitional Economics,"Economic Change and Restructuring: an international journal devoted to the study of comparative economics, planning and development",333,0.234,Social Sciences,Political Science and International Relations
International Journal of Tourism Sciences,International Journal of Tourism Sciences,330,0.289,Social Sciences,Sociology and Political Science
Gestión Turística,Gestion Turistica,324,0.346,Social Sciences,Development
Journal of Global Mobility The Home of Expatriate Management Research,Journal of Global Mobility: The Home of Expatriate Management Research,318,0.235,Social Sciences,Communication
Economics of Energy and Environmental Policy,Economics of Energy and Environmental Policy,311,0.277,"Economics, Econometrics and Finance",Economics and Econometrics
e-Service Journal,E-Service Journal,310,0.188,Decision Sciences,Information Systems and Management
Acta Turistica,Acta Turistica,304,0.346,Social Sciences,Transportation
Japan labor review,Japan Labor Review,300,0.172,Social Sciences,Public Administration
Ereview of tourism research,E-review of Tourism Research,298,0.081,Social Sciences,Sociology and Political Science
Journal of Demographic Economics,Journal of Demographic Economics,298,0.0,Social Sciences,Gender Studies
Korean Journal of Industrial Relations,Korean Journal of Industrial Relations,286,0.271,Social Sciences,Public Administration
International Journal of Online Marketing,International Journal of Online Marketing,277,0.304,Social Sciences,Sociology and Political Science
Revista Teoría y praxis,Teoria y Praxis,276,0.322,Social Sciences,Development
Journal of applied sport management,Journal of Applied Sport Management,272,0.277,Social Sciences,Gender Studies
Chronique Internationale de l IRES,Chronique Internationale de l'IRES,267,0.0,Social Sciences,Urban Studies
FUZZY ECONOMIC REVIEW,Fuzzy Economic Review: review of the International Association for Fuzzy-set Management and Economy,261,0.0,Decision Sciences,Management Science and Operations Research
KOREAN JOURNAL OF MANAGEMENT ACCOUNTING RESEARCH,Korean Journal of Management Accounting Research,257,0.374,Computer Science,Information Systems
International Journal of Hospitality and Tourism Systems,International Journal of Hospitality and Tourism Systems,253,0.245,Social Sciences,Sociology and Political Science
Engineering Management International,Journal of Engineering and Technology Management,249,0.163,Engineering,Media Technology
International Journal of Decision Sciences Risk and Management,"International Journal of Decision Sciences, Risk and Management",247,0.344,Decision Sciences,"Statistics, Probability and Uncertainty"
New Zealand journal of employment relations,New Zealand Journal of Employment Relations,245,0.0,Social Sciences,Public Administration
Industrielle Beziehungen Zeitschrift für Arbeit Organisation und Management,"Industrielle Beziehungen: Zeitschrift fuer Arbeit, Organisation und Management",237,0.0,Social Sciences,Public Administration
Athens Journal of Tourism,Athens Journal of Tourism,234,0.088,Social Sciences,Sociology and Political Science
Maritime Business Review,Maritime Business Review,232,0.083,Engineering,Industrial and Manufacturing Engineering
Emergence,Emergence: Complexity and Organization,229,0.179,Decision Sciences,Management Science and Operations Research
IBIMA Business Review,IBIMA Business Review,229,0.307,Decision Sciences,Information Systems and Management
Middle East Journal of Business,Middle East Journal of Business,228,0.372,"Business, Management and Accounting",Accounting
SCIENZE REGIONALI,Italian Journal of Regional Science,223,0.322,Environmental Science,"Management, Monitoring, Policy and Law"
Organisational and Social Dynamics,Organisational and Social Dynamics,218,0.376,"Business, Management and Accounting",Organizational Behavior and Human Resource Management
European Transport/Trasporti Europei,European Transport,218,0.0,Social Sciences,Transportation
Journal of Work-Applied Management,Journal of Work-Applied Management,214,0.387,Social Sciences,Education
Journal of maritime research,Journal of Maritime Research,213,0.138,Engineering,Industrial and Manufacturing Engineering
Journal of Shipping and Trade,Journal of Shipping and Trade,209,0.121,Engineering,Industrial and Manufacturing Engineering
International Journal of Leisure and Tourism Marketing,International Journal of Leisure and Tourism Marketing,208,0.319,Social Sciences,Sociology and Political Science
Journal of Media Economics & Culture,Journal of Media Economics and Culture,206,0.211,Social Sciences,Cultural Studies
Journal of the Economic Science Association,Journal of the Economic Science Association,197,0.093,Social Sciences,Safety Research
Annals of Tourism Research Empirical Insights,Annals of Tourism Research Empirical Insights,194,0.0,Social Sciences,Sociology and Political Science
Journal of Self-Governance and Management Economics,Journal of Self-Governance and Management Economics,193,0.178,Decision Sciences,Management Science and Operations Research
Journal of Diversity Management (JDM),Journal of Diversity Management,192,0.279,Social Sciences,Gender Studies
Project Leadership and Society,Project Leadership and Society,186,0.333,Decision Sciences,Management Science and Operations Research
E-Journal of international and comparative labour studies,E-Journal of International and Comparative Labour Studies,181,0.0,Social Sciences,Public Administration
The International Journal of Organizational Diversity,International Journal of Organizational Diversity,180,0.0,Social Sciences,Gender Studies
Economia & diritto agroalimentare,Economia e Diritto Agroalimentare,173,0.35,"Economics, Econometrics and Finance",Economics and Econometrics
The independent review,The Independent Review: a journal of political economy,173,0.377,Social Sciences,Political Science and International Relations
International journal of business and information/International journal of business & information,International Journal of Business and Information,163,0.371,Decision Sciences,Information Systems and Management
Tourism and Hospitality Planning & Development,Tourism Planning and Development,159,0.091,Social Sciences,Sociology and Political Science
Purushartha - A Journal of Management Ethics and Spirituality,Purushartha: A Journal of Management Ethics and Spirituality,158,0.165,Social Sciences,Demography
Arts and the Market,Arts and the Market,150,0.224,Social Sciences,Urban Studies
Journal of Workplace Rights,Journal of Workplace Rights,146,0.0,Social Sciences,Public Administration
La Revue de l'énergie/Revue de l'énergie,Revue de l'Energie,141,0.0,Energy,General Energy
International Journal of Engineering Management and Economics,International Journal of Engineering Management and Economics,133,0.364,Decision Sciences,Management Science and Operations Research
Foresight,Foresight: the international journal of applied forecasting,132,0.256,Decision Sciences,Management Science and Operations Research
European J of Cross-Cultural Competence and Management,European Journal of Cross-Cultural Competence and Management,119,0.365,Social Sciences,Communication
ITS Journal - Intelligent Transportation Systems Journal,"Journal of Intelligent Transportation Systems: technology, planning, and operations",119,0.0,Social Sciences,Transportation
IZA Journal of Labor Economics,IZA Journal of Labor Economics,114,0.394,"Economics, Econometrics and Finance",Economics and Econometrics
International Journal of e-Business Management,International Journal of e-Business Management,106,0.136,Decision Sciences,Information Systems and Management
International Journal of Transportation,International Journal of Transportation,102,0.0,Social Sciences,Transportation
International Journal of Sport Management Recreation & Tourism,"International Journal of Sport Management, Recreation and Tourism",97,0.159,Social Sciences,Sociology and Political Science
Asia-Pacific Journal of Innovation in Hospitality and Tourism (APJIHT),Asia-Pacific Journal of Innovation in Hospitality and Tourism,87,0.253,Social Sciences,Sociology and Political Science
Journal of Convention & Exhibition Management,Journal of Convention and Event Tourism,86,0.126,Social Sciences,Sociology and Political Science
International Journal of Complexity in Leadership and Management,International Journal of Complexity in Leadership and Management,83,0.346,Decision Sciences,Management Science and Operations Research
Business Peace and Sustainable Development,"Business, Peace and Sustainable Development",83,0.395,"Business, Management and Accounting",Business and International Management
Contemporary Wales,Contemporary Wales: an annual review of economic and social research,81,0.0,Arts and Humanities,History
آفاق اقتصادية,Afaq Iqtisadiyyah,80,0.375,Social Sciences,Sociology and Political Science
International Journal of Information Quality,International Journal of Information Quality,74,0.364,Decision Sciences,Management Science and Operations Research
Aero journal/Aero-journal,AEROjournal,73,0.089,Engineering,Control and Systems Engineering
The Journal of Cost Analysis & Management,The Journal of Cost Analysis and Management,58,0.34,Engineering,"Safety, Risk, Reliability and Quality"
Ciclos en la Historia la Economía y la Sociedad,"Ciclos: en la historia, la economia y la sociedad",55,0.268,Social Sciences,Political Science and International Relations
Arts Marketing An International Journal,Arts and the Market,52,0.344,Social Sciences,Urban Studies
Aviation in Focus - Journal of Aeronautical Sciences,Aviation in Focus,41,0.278,Engineering,Aerospace Engineering
Agbioforum,AgBioForum,24,0.111,Agricultural and Biological Sciences,Plant Science
Information Technology in Hospitality,Information Technology in Hospitality,23,0.222,Social Sciences,Sociology and Political Science
Gaming research & review journal,UNLV Gaming Research and Review Journal,23,0.13,Psychology,Clinical Psychology
The Journal of Scientific Practice and Integrity,The Journal of Scientific Practice and Integrity,22,0.0,Medicine,"Public Health, Environmental and Occupational Health"
Journal of the Statistical and Social Inquiry Society of Ireland,Journal of the Statistical and Social Inquiry Society of Ireland,22,0.0,Health Professions,General Health Professions
Marketing Management Journal,Marketing Management Journal,14,0.333,Social Sciences,Sociology and Political Science
Advances in Theoretical Economics,The BE Journal in Theoretical Economics,12,0.368,Decision Sciences,Management Science and Operations Research
Perspectives on work,Perspectives on Work,5,0.2,Psychology,Applied Psychology
New Zealand Journal of Applied Business Research,New Zealand Journal of Applied Business Research,4,0.2,Social Sciences,Gender Studies
Journal of Applied Corporate Finance,Journal of Applied Corporate Finance,3,0.333,Engineering,Aerospace Engineering
Kyoto economic review,The Kyoto Economic Review,2,0.25,"Economics, Econometrics and Finance",Economics and Econometrics
Journal - Scottish Labour History Society,Scottish Labour History,1,0.0,Arts and Humanities,History and Philosophy of Science
E-Journal of social & behavioural research in business,e-Journal of Social and Behavioural Research in Business,1,0.0,Health Professions,General Health Professions
Économies et sociétés,Economies et Societes,1,0.0,Social Sciences,Education
Russian & East European finance and trade,Emerging Markets Finance and Trade,1,0.0,Physics and Astronomy,"Atomic and Molecular Physics, and Optics"
