,Research_Profile,author_id,works_count,display_name,ACR,PUB,CIT,HCP,sum,coc,score,Group,Class
20,"Yang, Cunyi",https://openalex.org/A5078637517,210,Yong Tan,Y56,9,359,5,1597.730918046121,177.5256575606801,74.2,T,HCP
21,"Krueger, Philipp",https://openalex.org/A5112866317,40,Philipp Krueger,Y58,8,2326,5,1387.304797161172,173.4130996451465,73.4,T,HCP
22,"Gentzkow, Matthew",https://openalex.org/A5008542297,208,Matthew Gentzkow,A27,17,4615,6,2928.236316624486,172.249195095558,73.1,C,John_Bates_Clark_Medal
23,"Greenwood, Robin",https://openalex.org/A5110548704,145,Robin Greenwood,S10,14,1074,1,2348.414759287657,167.7439113776898,72.2,C,SFI BEST PAPER AWARD
24,"Moll, Benjamin",https://openalex.org/A5032528341,85,Benjamin Moll,A80,15,1157,1,2490.969469184982,166.0646312789988,71.8,C,ERC
25,"Moll, Benjamin",https://openalex.org/A5032528341,85,Benjamin Moll,A61,15,868,1,2485.002553800367,165.6668369200244,71.7,C,German_Bernacer_Prize
26,"Duflo, Esther",https://openalex.org/A5015565298,1393,Esther Duflo,A11,22,4570,4,3516.101439881507,159.8227927218867,70.4,C,Nobel Prize
27,"Van Reenen, John",https://openalex.org/A5004443266,674,John Van Reenen,H03,28,2605,4,4375.819724619269,156.2792758792596,69.6,C,Arrow Prize
28,"Sufi, Amir",https://openalex.org/A5042474653,213,Philip E. Strahan,A30,10,828,1,1530.381919756632,153.0381919756632,68.9,C,Fischer Black Prize
29,"Schmalz, Martin C.",https://openalex.org/A5088570401,103,Martin C. Schmalz,A83,7,865,1,1058.836541349761,151.2623630499659,68.5,C,ERC
30,"Bloom, Nicholas",https://openalex.org/A5044421873,558,Nicholas Bloom,A56,33,4807,8,4958.797431586192,150.2665888359452,68.3,C,German_Bernacer_Prize
31,"Saez, Emmanuel",https://openalex.org/A5017685817,482,Emmanuel Saez,A23,26,2281,3,3816.054311363637,146.7713196678322,67.5,C,John_Bates_Clark_Medal
32,"Kelly, Bryan",https://openalex.org/A5101435735,87,Bryan Kelly,H01,30,4150,6,4209.873686579532,140.3291228859844,66.0,C,Fama-DFA Prize 
33,"Flammer, Caroline",https://openalex.org/A5062974091,86,Caroline Flammer,Y22,16,4106,9,2241.402381743811,140.0876488589882,65.9,C,Moskowitz Prize
34,"Imbens, Guido W.",https://openalex.org/A5052726702,436,Guido W. Imbens,Y21,19,4047,6,2644.042811883672,139.1601479938775,65.7,C,Nobel Prize
35,"Vayanos, Dimitri",https://openalex.org/A5000113430,125,Dimitri Vayanos,S06,9,467,0,1205.036708766234,133.8929676406927,64.5,C,SFI BEST PAPER AWARD
36,"Starks, Laura T.",https://openalex.org/A5081692376,175,Laura T. Starks,Y51,12,2122,5,1588.151878463481,132.3459898719567,64.1,C,Swedish Skandia Award and Moskowitz Prize
